Comprobante;Edificio_ID;Nro_Medidor;Medida;Consumo (comprobante);Fecha pago;Importe;Servicio_ID;SEDE_ID
FC.B: 00006-11213398;25;82013;kw ;1676.13;45322;80683.51;4;4
FC.B: 00006-11213398;25;82013;kw ;1676.13;45322;80683.51;4;4
FC.B: 00006-11213398;25;82013;kw ;1676.13;45322;80683.51;4;4
FC.B: 00006-11270197;27;86982;kw ;12768.91;45322;279670.2;4;4
FC.B: 00006-11270197;27;86982;kw ;12768.91;45322;279670.2;4;4
FC.B: 00006-11270197;27;86982;kw ;12768.91;45322;279670.2;4;4
FC.B: 00006-11216454;27;86982;kw ;12768.91;45322;429847.1;4;4
FC.B: 00006-11216454;27;86982;kw ;12768.91;45322;429847.1;4;4
FC.B: 00006-11216454;27;86982;kw ;12768.91;45322;429847.1;4;4
FC.B: 00006-11262109;28;69348;kw ;2990.46;45322;23994.65;4;4
FC.B: 00006-11262109;28;69348;kw ;2990.46;45322;23994.65;4;4
FC.B: 00006-11262109;28;69348;kw ;2990.46;45322;23994.65;4;4
FC.B: 00006-11208522;28;69348;kw ;2990.46;45322;141150.26;4;4
FC.B: 00006-11208522;28;69348;kw ;2990.46;45322;141150.26;4;4
FC.B: 00006-11208522;28;69348;kw ;2990.46;45322;141150.26;4;4
FACT: 00057-00579953;14;43550040001;kw ;1201.75;45329;41148.16;2;4
FC.B: 00057-00579953;14;43550040001;kw ;1201.75;45342;41148.16;2;4
FC.B: 00006-11273489;27;91884;kw ;289.69;45322;5453.53;4;4
FC.B: 00006-11273489;27;91884;kw ;289.69;45322;5453.53;4;4
FC.B: 00006-11273489;27;91884;kw ;289.69;45322;5453.53;4;4
FC.B: 00006-11219737;27;91884;kw ;289.69;45322;19924.28;4;4
FC.B: 00006-11219737;27;91884;kw ;289.69;45322;19924.28;4;4
FC.B: 00006-11219737;27;91884;kw ;289.69;45322;19924.28;4;4
FC.B: 80001-02759520;23;8400/0-1008-0046871/3;m3 ;5172;45322;38114.88;3;4
FC.B: 80001-02759520;23;8400/0-1008-0046871/3;m3 ;5172;45322;38114.88;3;4
FC.B: 80001-02759520;23;8400/0-1008-0046871/3;m3 ;5172;45322;38114.88;3;4
FC.B: 80001-61283908;18;8430/0-1711-0007938/4;m3 ;36.18;45322;1806.87;3;4
FC.B: 80001-61283908;18;8430/0-1711-0007938/4;m3 ;36.18;45322;1806.87;3;4
FC.B: 80001-61283908;18;8430/0-1711-0007938/4;m3 ;36.18;45322;1806.87;3;4
FC.B: 80001-61283907;30;8430/0-1711-0007945/1;m3 ;0;45322;1572.16;3;4
FC.B: 80001-61283907;30;8430/0-1711-0007945/1;m3 ;0;45322;1572.16;3;4
FC.B: 80001-61283907;30;8430/0-1711-0007945/1;m3 ;0;45322;1572.16;3;4
FC.B: 80001-61282204;27;8400/0-1107-0048924/2;m3 ;39.34;45322;1840.87;3;4
FC.B: 80001-61282204;27;8400/0-1107-0048924/2;m3 ;39.34;45322;1840.87;3;4
FC.B: 80001-61282204;27;8400/0-1107-0048924/2;m3 ;39.34;45322;1840.87;3;4
FC.B: 80001-61282205;27;8400/0-1107-0048926/6;m3 ;49.18;45322;1913.38;3;4
FC.B: 80001-61282205;27;8400/0-1107-0048926/6;m3 ;49.18;45322;1913.38;3;4
FC.B: 80001-61282205;27;8400/0-1107-0048926/6;m3 ;49.18;45322;1913.38;3;4
FC.B: 80001-61282209;27;8400/0-1107-0048927/8;m3 ;137.71;45322;2479.17;3;4
FC.B: 80001-61282209;27;8400/0-1107-0048927/8;m3 ;137.71;45322;2479.17;3;4
FC.B: 80001-61282209;27;8400/0-1107-0048927/8;m3 ;137.71;45322;2479.17;3;4
FC.B: 80001-61282210;27;8400/0-1107-0048928/0;m3 ;78.68;45322;2105.03;3;4
FC.B: 80001-61282210;27;8400/0-1107-0048928/0;m3 ;78.68;45322;2105.03;3;4
FC.B: 80001-61282210;27;8400/0-1107-0048928/0;m3 ;78.68;45322;2105.03;3;4
FC.B: 80001-61282206;27;8400/0-1107-0048929/1;m3 ;0;45322;1568.87;3;4
FC.B: 80001-61282206;27;8400/0-1107-0048929/1;m3 ;0;45322;1568.87;3;4
FC.B: 80001-61282206;27;8400/0-1107-0048929/1;m3 ;0;45322;1568.87;3;4
FC.B: 80001-61282216;27;8400/0-1107-0048930/8;m3 ;150;45322;2560.65;3;4
FC.B: 80001-61282216;27;8400/0-1107-0048930/8;m3 ;150;45322;2560.65;3;4
FC.B: 80001-61282216;27;8400/0-1107-0048930/8;m3 ;150;45322;2560.65;3;4
FC.B: 80001-61282207;27;8400/0-1107-0048930/8;m3 ;31.95;45322;1797.15;3;4
FC.B: 80001-61282207;27;8400/0-1107-0048930/8;m3 ;31.95;45322;1797.15;3;4
FC.B: 80001-61282207;27;8400/0-1107-0048930/8;m3 ;31.95;45322;1797.15;3;4
FC.B: 80001-61318644;4;8332/0-1312-00433673;m3 ;84.55;45322;2137.56;3;3
FC.B: 80001-61318644;4;8332/0-1312-00433673;m3 ;84.55;45322;2137.56;3;3
FC.B: 80001-61318644;4;8332/0-1312-00433673;m3 ;84.55;45322;2137.56;3;3
FC.B: 80001-61318641;4;8332/0-1312-00433648;m3 ;55.48;45322;1940.5;3;3
FC.B: 80001-61318641;4;8332/0-1312-00433648;m3 ;55.48;45322;1940.5;3;3
FC.B: 80001-61318641;4;8332/0-1312-00433648;m3 ;55.48;45322;1940.5;3;3
FC.B: 80001-61318698;2;8332/0-0905-00364852;m3 ;73.98;45322;2133.71;3;3
FC.B: 80001-61318698;2;8332/0-0905-00364852;m3 ;73.98;45322;2133.71;3;3
FC.B: 80001-61318698;2;8332/0-0905-00364852;m3 ;73.98;45322;2133.71;3;3
FC.B: 80001-61319292;7;8336/0-1003-00147184;m3 ;82.38;45322;2126.79;3;3
FC.B: 80001-61319292;7;8336/0-1003-00147184;m3 ;82.38;45322;2126.79;3;3
FC.B: 80001-61319292;7;8336/0-1003-00147184;m3 ;82.38;45322;2126.79;3;3
FC.B: 80001-02769144;6;8336/0-0904-00141582;m3 ;138.19;45322;2641.63;3;3
FC.B: 80001-02769144;6;8336/0-0904-00141582;m3 ;138.19;45322;2641.63;3;3
FC.B: 80001-02769144;6;8336/0-0904-00141582;m3 ;138.19;45322;2641.63;3;3
FC.B: 80001-61319545;8;8360/0-1411-00058816;m3 ;274.02;45322;3385.06;3;3
FC.B: 80001-61319545;8;8360/0-1411-00058816;m3 ;274.02;45322;3385.06;3;3
FC.B: 80001-61319545;8;8360/0-1411-00058816;m3 ;274.02;45322;3385.06;3;3
FC.B: 80001-61275041;13;8500/0-1305-00351409;m3 ;0;45322;1657.6;3;2
FC.B: 80001-61275041;13;8500/0-1305-00351409;m3 ;0;45322;1657.6;3;2
FC.B: 80001-61275041;13;8500/0-1305-00351409;m3 ;0;45322;1657.6;3;2
FC.B: 80001-61318643;4;8332/0-1312-00433685;m3 ;42.28;45322;1824.99;3;3
FC.B: 80001-61318643;4;8332/0-1312-00433685;m3 ;42.28;45322;1824.99;3;3
FC.B: 80001-61318643;4;8332/0-1312-00433685;m3 ;42.28;45322;1824.99;3;3
FACT: 00046-00815103;10;44213500012;kw ;550.28;45322;37149.32;2;3
FACT: 00046-00815103;10;44213500012;kw ;550.28;45322;37149.32;2;3
FACT: 00046-00815103;10;44213500012;kw ;550.28;45322;37149.32;2;3
FC.B: 00066-00000214;8;54213500040;kw ;29226.56;45322;1493649.16;2;3
FC.B: 00066-00000214;8;54213500040;kw ;29226.56;45322;1493649.16;2;3
FC.B: 00066-00000214;8;54213500040;kw ;29226.56;45322;1493649.16;2;3
FC.B: 00063-00000154;9;74213500029;kw ;29484.62;45322;981092.35;2;3
FC.B: 00063-00000154;9;74213500029;kw ;29484.62;45322;981092.35;2;3
FC.B: 00063-00000154;9;74213500029;kw ;29484.62;45322;981092.35;2;3
FACT: 00044-02425716;3;84213500043;kw ;575.58;45329;17098.11;2;3
FC.B: 00044-02425716;3;84213500043;kw ;575.58;45342;17098.11;2;3
FC.B: 00064-00000669;4;14213500045;kw ;12480.49;45322;376556.95;2;3
FC.B: 00064-00000669;4;14213500045;kw ;12480.49;45322;376556.95;2;3
FC.B: 00064-00000669;4;14213500045;kw ;12480.49;45322;376556.95;2;3
FACT: 00044-02425715;2;24213500003;kw ;2363.02;45329;61317.6;2;3
FC.B: 00044-02725715;2;24213500003;kw ;2363.02;45342;61317.6;2;3
FC.B: 00064-00000668;1;54213500039;kw ;13975.72;45322;1348531.33;2;3
FC.B: 00064-00000668;1;54213500039;kw ;13975.72;45322;1348531.33;2;3
FC.B: 00064-00000668;1;54213500039;kw ;13975.72;45322;1348531.33;2;3
FC.B: 80001-61318642;4;8332/0-1312-00433594;m3 ;55.48;45322;1938.74;3;3
FC.B: 80001-61318642;4;8332/0-1312-00433594;m3 ;55.48;45322;1938.74;3;3
FC.B: 80001-61318642;4;8332/0-1312-00433594;m3 ;55.48;45322;1938.74;3;3
FACT: 00057-00564462;29;74213500042;kw ;485.76;45289;13176.74;2;4
FC.B: 00057-00564462;29;74213500042;kw ;485.76;45243;13176.74;2;4
FACT: 00057-005748889;29;74213500042;kw ;433.9;45342;13288.27;2;4
FACT: 00057-00611269;29;24213500010;kw ;4676.71;45519;492493.3;2;4
FC.B: 00057-00611269;29;24213500010;kw ;4676.71;0/1/1900;492493.3;2;4
FACT: 00044-02560878;5;94213500044;kw ;732.44;45519;83591.82;2;3
FC.B: 00044-02560878;5;94213500044;kw ;732.44;0/1/1900;83591.82;2;3
FACT: 00044-02560877;3;84213500043;kw ;1310.54;45519;152259.75;2;3
FC.B: 00044-02560877;3;84213500043;kw ;1310.54;0/1/1900;152259.75;2;3
FACT: 00044-02560876;2;24213500003;kw ;2371.88;45519;255965.87;2;3
FC.B: 00044-02560876;2;24213500003;kw ;2371.88;0/1/1900;255965.87;2;3
FACT: 00057-00589458;29;64213500041;kw ;0;45387;8413.17;2;4
FC.B: 00057-00579958;29;64213500041;kw ;0;45419;8413.17;2;4
FC.B: 00057-00589457;29;24213500010;kw ;2517.35;45419;142719;2;4
FACT: 00057-00589457;29;24213500010;kw ;2517.35;45387;142719;2;4
FACT: 00057-00598986;29;14213500035;kw ;0;45471;9079.72;2;4
FC.B: 00057-00598986;29;14213500035;kw ;0;45504;9079.72;2;4
FACT: 00045-01194341;7;34213500011;kw ;3414.24;45387;160303.4;2;3
FC.B: 00045-01194341;7;34213500011;kw ;3414.24;45419;160303.4;2;3
FACT: 00044-02470660;5;94213500044;kw ;609.73;45419;37069.12;2;3
FC.B: 00044-02470659;3;84213500043;kw ;0;45387;5275.95;2;3
FACT: 00044-02470659;3;84213500043;kw ;0;45419;5275.95;2;3
FC.B: 00044-02470658;2;24213500003;kw ;3056.24;45419;165676.1;2;3
FACT: 00044-02470658;2;24213500003;kw ;3056.24;45387;165676.1;2;3
FACT: 00044-02517700;5;94213500044;kw ;483.23;45484;50186.1;2;3
FC.B: 00044-02517700;5;94213500044;kw ;483.23;45456;50186.1;2;3
FC.B: 00044-02517699;3;84213500043;kw ;153.07;45456;22194.16;2;3
FACT: 00044-02517699;3;84213500043;kw ;153.07;45484;22194.16;2;3
FC.B: 00044-02517698;2;24213500003;kw ;2340.25;45456;211377.44;2;3
FACT: 00044-02517698;2;24213500003;kw ;2340.25;45484;211377.44;2;3
FACT: 00057-00598982;29;14213500035;kw ;0;45499;4198.54;2;4
FC.B: 00057-00598982;29;14213500035;kw ;0;45468;4198.54;2;4
FC.B: 00057-00598983;29;14213500035;kw ;0;45468;4792.77;2;4
FC.B: 00057-00598984;29;14213500035;kw ;0;45468;4790.48;2;4
FACT: 00057-00598983;29;14213500035;kw ;0;45499;4792.77;2;4
FACT: 00057-00598984;29;14213500035;kw ;0;45499;4790.48;2;4
FC.B: 00057-00598985;29;14213500035;kw ;0;45469;5415.87;2;4
FACT: 00057-00598985;29;14213500035;kw ;0;45499;5415.87;2;4
FC.B: 00048-01616577;20;73148370002;kw ;2923.42;45378;158938.86;2;1
FACT: 00048-01616577;20;73148370002;kw ;2923.42;45406;158938.86;2;1
FC.B: 00048-01616611;20;13540580003;kw ;759;45378;46182.12;2;1
FACT: 00048-01616611;20;13540580003;kw ;759;45406;46182.12;2;1
FC.B: 00048-01480002;20;73148370002;kw ;3223.22;45076;53429.18;2;1
FACT: 00048-01480002;19;54213500006;kw ;3223.22;45104;53429.18;2;1
FC.B: 00048-01480003;19;64213500007;kw ;874.12;45076;16465.99;2;1
FACT: 00048-01480003;19;64213500007;kw ;874.12;45104;16465.99;2;1
FC.B: 00048-01480001;19;44213500005;kw ;1788.71;45076;30719.35;2;1
FACT: 00048-01480001;14;43550040001;kw ;1788.71;45104;30719.35;2;4
FC.B: 00045-01087271;7;34213500011;kw ;4765.26;45076;55622.9;2;3
FACT: 00045-01087271;7;34213500011;kw ;4765.26;45104;55622.9;2;3
FC.B: 00044-02246694;5;94213500044;kw ;609.73;45076;9561.94;2;3
FACT: 00044-02246694;5;94213500044;kw ;609.73;45104;9561.94;2;3
FACT: 00048-01502820;20;73148370002;kw ;3119.49;45162;79812.35;2;1
FC.B: 00048-01502820;20;73148370002;kw ;3119.49;45139;79812.35;2;1
FACT: 00048-01502849;20;13540580003;kw ;731.17;45162;20589.74;2;1
FC.B: 00048-01502849;20;13540580003;kw ;731.17;45139;20589.74;2;1
FC.B: 00048-01531027;20;73148370002;kw ;3075.22;45195;86207.03;2;1
FACT: 00048-01531027;20;73148370002;kw ;3075.22;45226;86207.03;2;1
FC.B: 00048-01531060;20;13540580003;kw ;685.63;45195;21475.8;2;1
FACT: 00048-01531060;20;13540580003;kw ;685.63;45226;21475.8;2;1
FC.B: 00048-01536601;19;54213500006;kw ;3006.91;45226;84689.43;2;1
FACT: 00048-01536601;19;54213500006;kw ;3006.91;45243;84689.43;2;1
FC.B: 00048-01536604;19;84213500009;kw ;1548.36;45226;45137.29;2;1
FACT: 00048-01536604;19;84213500009;kw ;1548.36;45243;45137.29;2;1
FC.B: 00048-01536602;19;64213500007;kw ;314.99;45226;11198.42;2;1
FACT: 00048-01536602;19;64213500007;kw ;314.99;45243;11198.42;2;1
FC.B: 00048-01536603;19;74213500008;kw ;1239.7;45226;24770.44;2;1
FACT: 00048-01536603;19;74213500008;kw ;1239.7;45243;24770.44;2;1
FC.B: 00048-01536600;19;44213500005;kw ;2454.1;45226;69698.72;2;1
FACT: 00048-01536600;19;44213500005;kw ;2454.1;45243;69698.72;2;1
FACT: 00057-00557312;29;64213500041;kw ;0;45226;4075.7;2;4
FC.B: 00057-00557312;29;64213500041;kw ;0;45198;4075.7;2;4
FC.B: 00057-00557311;29;24213500010;kw ;5606.48;45198;119767;2;4
FACT: 00020-02159795;9;20-008273-000-00;m3 ;179.63;45226;21774.11;7;3
FC.B: 00020-02159795;9;20-008273-000-00;m3 ;179.63;45195;21774.15;7;3
FACT: 00057-00557311;7;34213500011;kw ;5606.48;45226;119767;2;3
FACT: 00045-01130450;7;34213500011;kw ;4656.47;45226;78807.78;2;3
FC.B: 00045-01130450;7;34213500011;kw ;4656.47;45198;78807.78;2;3
FACT: 00045-01129626;6;94213500001;kw ;2308.63;45226;50175.78;2;3
FC.B: 00045-01129626;6;94213500001;kw ;2308.63;45198;50175.78;2;3
FC.B: 00044-02336005;5;94213500044;kw ;689.43;45195;14774.93;2;3
FACT: 00044-02336005;5;94213500044;kw ;689.43;45226;14774.93;2;3
FC.B: 00044-02336004;3;84213500043;kw ;864;45195;17824.55;2;3
FACT: 00044-02336004;3;84213500043;kw ;864;45226;17824.55;2;3
FC.B: 00044-02336003;2;24213500003;kw ;2466.75;45195;49301.82;2;3
FACT: 00044-02336003;2;24213500003;kw ;2466.75;45226;49301.82;2;3
FC.B: 00048-01559500;20;73148370002;kw ;2576.81;45260;77692.07;2;1
FACT: 00048-01559500;20;73148370002;kw ;2576.81;45289;77692.07;2;1
FC.B: 00048-01559534;20;13540580003;kw ;771.65;45260;25773.84;2;1
FACT: 00048-01559534;20;13540580003;kw ;771.65;45289;25773.84;2;1
FACT: 00048-01565080;19;54213500006;kw ;3130.88;45322;92519.5;2;1
FACT: 00048-01565080;19;54213500006;kw ;3130.88;45322;92519.5;2;1
FACT: 00048-01565080;19;54213500006;kw ;3130.88;45322;92519.5;2;1
FC.B: 00048-01565080;19;54213500006;kw ;3130.88;45289;92519.5;2;1
FC.B: 00048-01565083;19;84213500009;kw ;1323.19;45322;41491.83;2;1
FC.B: 00048-01565083;19;84213500009;kw ;1323.19;45322;41491.83;2;1
FC.B: 00048-01565083;19;84213500009;kw ;1323.19;45322;41491.83;2;1
FACT: 00048-01565083;19;84213500009;kw ;1323.19;45289;41491.83;2;1
FACT: 00048-01565081;19;64213500007;kw ;203.67;45322;9142.31;2;1
FACT: 00048-01565081;19;64213500007;kw ;203.67;45322;9142.31;2;1
FACT: 00048-01565081;19;64213500007;kw ;203.67;45322;9142.31;2;1
FC.B: 00048-01565081;19;64213500007;kw ;203.67;45289;9142.31;2;1
FACT: 00048-01565082;19;74213500008;kw ;1259.94;45322;28433.76;2;1
FACT: 00048-01565082;19;74213500008;kw ;1259.94;45322;28433.76;2;1
FACT: 00048-01565082;19;74213500008;kw ;1259.94;45322;28433.76;2;1
FC.B: 00048-01565082;19;74213500008;kw ;1259.94;45289;28433.76;2;1
FACT: 00048-01565079;19;44213500005;kw ;2093.58;45322;63595.48;2;1
FACT: 00048-01565079;19;44213500005;kw ;2093.58;45322;63595.48;2;1
FACT: 00048-01565079;19;44213500005;kw ;2093.58;45322;63595.48;2;1
FC.B: 00048-01565079;19;44213500005;kw ;2093.58;45289;63595.48;2;1
FACT: 00057-00567955;29;64213500041;kw ;0;45322;4095.94;2;4
FACT: 00057-00567955;29;64213500041;kw ;0;45322;4095.94;2;4
FACT: 00057-00567955;29;64213500041;kw ;0;45322;4095.94;2;4
FACT: 00048-01474481;20;73148370002;kw ;2423.74;45100;37004.59;2;1
FC.B: 00048-01474481;20;73148370002;kw ;2423.74;45069;37004.59;2;1
FACT: 00048-01474511;20;13540580003;kw ;748.88;45100;12894.51;2;1
FC.B: 00048-01474511;20;13540580003;kw ;748.88;45069;12894.51;2;1
FC.B: 00048-01480005;19;84213500009;kw ;1611.61;45076;27915.65;2;1
FACT: 00048-01480005;19;84213500009;kw ;1611.61;45104;27915.65;2;1
FC.B: 00048-01480004;19;74213500008;kw ;1363.67;45076;21997.57;2;1
FACT: 00048-01480004;19;74213500008;kw ;1363.67;45104;21997.57;2;1
FC.B: 00044-02246693;3;84213500043;kw ;151.8;45076;3232.27;2;3
FACT: 00044-02246693;3;84213500043;kw ;151.8;45104;3232.27;2;3
FC.B: 00044-02246692;2;24213500003;kw ;2951.25;45076;41821.69;2;3
FACT: 00044-02246692;2;24213500003;kw ;2951.25;45104;41821.69;2;3
FACT: 00048-01645193;20;73148370002;kw ;2490.79;45439;203442.97;2;1
FC.B: 00048-01645193;20;73148370002;kw ;2490.79;45468;203442.97;2;1
FACT: 00048-01645227;20;13540580003;kw ;731.17;45439;66904.7;2;1
FC.B: 00048-01645227;20;13540580003;kw ;731.17;45468;66904.7;2;1
FC.B: 00057-00600293;29;64213500041;kw ;0;45457;15555.65;2;4
FACT: 00057-00600293;29;64213500041;kw ;0;45499;15555.65;2;4
FC.B: 00057-00600291;29;24213500010;kw ;4399.67;45457;388079.63;2;4
FACT: 00057-00600291;29;24213500010;kw ;4399.67;45499;388079.63;2;4
FACT: 00057-00600292;29;14213500035;kw ;0;45499;15555.65;2;4
FC.B: 00057-00600292;29;14213500035;kw ;0;45457;15555.65;2;4
FC.B: 00063-00000248;9;74213500029;kw ;71912.72;45456;6431485.84;2;3
FACT: 00048-01673833;20;73148370002;kw ;2917.09;45526;284868.31;2;1
FC.B: 00048-01673833;20;73148370002;kw ;2917.09;45499;284868.31;2;1
FACT: 00048-01673868;20;13540580003;kw ;638.83;45526;73584.62;2;1
FC.B: 00048-01673868;20;13540580003;kw ;638.83;45499;73584.62;2;1
FACT: 00057-00611271;19;64213500007;kw ;0;45519;19589.1;2;1
FC.B: 00057-00611271;29;64213500041;kw ;0;0/1/1900;19589.1;2;4
FACT: 00057-00611270;29;14213500035;kw ;0;45519;19589.1;2;4
FC.B: 00057-00611270;29;14213500035;kw ;0;0/1/1900;19589.1;2;4
FC.B: 00044-02425717;5;94213500044;kw ;451.61;45342;14218.37;2;3
FACT: 00044-02425717;5;94213500044;kw ;451.61;45329;14218.37;2;3
FACT: 00045-01213145;6;94213500001;kw ;2489.52;45484;242594.93;2;3
FC.B: 00045-01213145;6;94213500001;kw ;2489.52;45447;242594.93;2;3
FC.B: 00045-01088184;6;94213500001;kw ;3196.66;45076;49266.53;2;3
FACT: 00045-01088184;6;94213500001;kw ;3196.66;45104;49266.53;2;3
FC.B: 00045-01214069;7;34213500011;kw ;4007.52;45447;284839.88;2;3
FACT: 00045-01214069;7;34213500011;kw ;4007.52;45484;284839.88;2;3
FACT: 00045-01236303;6;94213500001;kw ;2504.7;45519;292546.91;2;3
FC.B: 00045-01236303;6;94213500001;kw ;2504.7;0/1/1900;292546.91;2;3
FACT: 00045-01193450;6;94213500001;kw ;1977.2;45407;126768.35;2;3
FC.B: 00045-01193450;6;94213500001;kw ;1977.2;45378;126768.35;2;3
FACT: 00048-01635828;12;34213500047;kw ;4973.98;45436;394193.25;2;2
FC.B: 00048-01635828;12;34213500047;kw ;4973.98;45411;394193.25;2;2
FC.B: 00057-00614244;14;43550040001;kw ;1423.13;45527;151708.13;2;4
FACT: 00057-00614244;14;43550040001;kw ;1423.13;0/1/1900;151708.13;2;4
FACT: 00045-01237185;7;34213500011;kw ;4104.93;45519;350464.58;2;3
FC.B: 00045-01237185;7;34213500011;kw ;4104.93;0/1/1900;350464.58;2;3
FACT: 00057-00592433;14;43550040001;kw ;1176.45;45429;74549.22;2;4
FC.B: 00057-00592433;14;43550040001;kw ;1176.45;45407;74549.22;2;4
FACT: 00047-07754526;26;47-005029-000-01;m3 ;0;45448;85465.75;7;4
FC.B: 00047-07754526;26;47-005029-000-01;m3 ;0;45422;85465.76;7;4
FACT: 00033-01493856;29;33-010803-001-00;m3 ;523.71;45448;262646.44;7;4
FC.B: 00033-01493856;29;33-010803-001-00;m3 ;523.71;45422;262646.48;7;4
FACT: 00047-07804834;25;47-000042-005-01;m3 ;27.83;45448;9359.32;7;4
FC.B: 00047-07804834;25;47-000042-005-01;m3 ;27.83;45422;9359.32;7;4
FACT: 00047-07788687;24;47-000444-001-00;m3 ;22.77;45448;4681.06;7;4
FC.B: 00047-07788687;24;47-000444-001-00;m3 ;22.77;45422;4681.08;7;4
FACT: 00033-01488879;14;33-043912-000-00;m3 ;0;45448;17648.98;7;4
FC.B: 00033-01488879;14;33-043912-000-00;m3 ;0;45422;17649.01;7;4
FACT: 00033-01501407;29;33-01080300200;m3 ;0;45448;16846.75;7;4
FC.B: 00033-01501407;29;33-01080300200;m3 ;0;45422;16846.79;7;4
FACT: 00004-01552854;10;40-906250-003-00;m3 ;361.79;45448;96864.99;7;3
FC.B: 00004-01552854;10;40-906250-003-00;m3 ;361.79;45422;96865;7;3
FACT: 00020-02320056;9;20-008273-000-00;m3 ;500.94;45448;250230.75;7;3
FC.B: 00020-02320056;9;20-008273-000-00;m3 ;500.94;45422;250230.77;7;3
FACT: 00048-01666218;12;34213500047;kw ;7404.05;45505;702121.66;2;2
FC.B: 00048-01666218;12;34213500047;kw ;7404.05;45484;702121.66;2;2
FACT: 00048-01550604;12;34213500047;kw ;9238.3;45289;211513.93;2;2
FC.B: 00048-01550604;12;34213500047;kw ;9238.3;45243;211513.93;2;2
FC.B: 00048-01607704;12;34213500047;kw ;5856.95;45369;208962.59;2;2
FACT: 00048-01607704;12;34213500047;kw ;5856.95;45387;208962.59;2;2
FC.B: 00048-01622193;19;54213500006;kw ;3115.7;45419;180296.93;2;1
FACT: 00048-01622193;19;54213500006;kw ;3115.7;45387;180296.93;2;1
FACT: 00048-01622196;19;84213500009;kw ;1184.04;45387;73555.16;2;1
FC.B: 00048-01622196;19;84213500009;kw ;1184.04;45419;73555.16;2;1
FACT: 00048-01622194;19;64213500007;kw ;5199.15;45387;298830.09;2;1
FC.B: 00048-01622194;19;64213500007;kw ;5199.15;45419;298830.09;2;1
FACT: 00048-01622195;19;74213500008;kw ;1052.48;45387;66041.99;2;1
FC.B: 00048-01622195;19;74213500008;kw ;1052.48;45419;66041.99;2;1
FACT: 00048-01622192;19;44213500005;kw ;1954.43;45387;116126.05;2;1
FC.B: 00048-01622192;19;44213500005;kw ;1954.43;45419;116126.05;2;1
FC.B: 00044-02470660;5;94213500044;kw ;609.73;45387;37069.12;2;3
FACT: 00048-01493359;12;34213500047;kw ;6709.56;45111;113358.43;2;2
FC.B: 00048-01493359;12;34213500047;kw ;6709.56;45111;113358.43;2;2
FC.B: 00057-00549545;14;43550040001;kw ;1189.1;45162;33146.63;2;4
FACT: 00057-00549545;14;43550040001;kw ;1189.1;45195;33146.63;2;4
FACT: 00048-01519331;12;34213500047;kw ;8542.55;45195;170938.6;2;2
FC.B: 00048-01519331;12;34213500047;kw ;8542.55;45168;170938.6;2;2
FACT: 00048-01693603;12;34213500047;kw ;7960.65;0/1/1900;869453.65;2;2
FC.B: 00048-01693603;12;34213500047;kw ;7960.65;0/1/1900;869453.65;2;2
FC.B: 00057-00618247;29;74213500042;kw ;449.08;0/1/1900;64349.74;2;4
FACT: 00057-00618247;29;74213500042;kw ;449.08;0/1/1900;64349.74;2;4
FC.B: 00048-01576216;12;34213500047;kw ;4739.96;45289;118663.55;2;2
FACT: 00048-01576216;12;34213500047;kw ;4739.96;45322;118663.55;2;2
FACT: 00048-01576216;12;34213500047;kw ;4739.96;45322;118663.55;2;2
FACT: 00048-01576216;12;34213500047;kw ;4739.96;45322;118663.55;2;2
FACT: 00057-00574889;29;74213500042;kw ;433.9;45322;13288.27;2;4
FACT: 00057-00574889;29;74213500042;kw ;433.9;45322;13288.27;2;4
FACT: 00057-00574889;29;74213500042;kw ;433.9;45322;13288.27;2;4
FC.B: 00057-00574889;29;74213500042;kw ;433.9;45329;13288.27;2;4
FACT: 00048-01650814;19;54213500006;kw ;3011.97;45468;244070.86;2;1
FC.B: 00048-01650814;19;54213500006;kw ;3011.97;45443;244070.86;2;1
FACT: 00048-01650817;19;84213500009;kw ;1364.94;45468;117135.47;2;1
FC.B: 00048-01650817;19;84213500009;kw ;1364.94;45443;117135.47;2;1
FC.B: 00048-01650815;19;64213500007;kw ;212.52;45443;22988.9;2;1
FACT: 00048-01650815;19;64213500007;kw ;212.52;45468;22988.9;2;1
FACT: 00048-01650816;19;74213500008;kw ;1211.87;45468;109317.25;2;1
FC.B: 00048-01650816;19;74213500008;kw ;1211.87;45443;109317.25;2;1
FC.B: 00048-01650813;19;44213500005;kw ;1896.24;45443;158082.37;2;1
FACT: 00048-01650813;19;44213500005;kw ;1896.24;45468;158082.37;2;1
FC.B: 00048-01679465;19;54213500006;kw ;3024.62;0/1/1900;294716.76;2;1
FC.B: 00048-01679466;19;54213500006;kw ;208.73;45502;28305.56;2;1
FACT: 00048-01679465;19;54213500006;kw ;3024.62;45502;294716.76;2;1
FC.B: 00048-01679468;19;84213500009;kw ;1538.24;0/1/1900;157619.65;2;1
FACT: 00048-01679468;19;84213500009;kw ;1538.24;45502;157619.65;2;1
FACT: 00048-01679466;19;64213500007;kw ;208.73;0/1/1900;28305.56;2;1
FC.B: 00048-01679467;19;74213500008;kw ;1180.25;0/1/1900;128227.84;2;1
FACT: 00048-01679467;19;74213500008;kw ;1180.25;45502;128227.84;2;1
FC.B: 00048-01679464;19;44213500005;kw ;2199.84;0/1/1900;218642.45;2;1
FACT: 00048-01679464;19;44213500005;kw ;2199.84;45502;218642.45;2;1
